IFRS_MONTH,KEY,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir),NAMA_PRODUK
2024-01-01,300_7_2023,319542541.06449354,86917522.5,232625018.56449357,79997196.3244246,57692983.18302069,3988931.818302069,18315281.32310183,0,26945153.742710717,9141488.742710719,17803665.0,0.0,0,-53052042.58171388,0.0,0.0,0,0.0,-79997196.3244246,0,17803665.0,1095442.783149871,0.0,-61098088.54127473,240640787.52321884,69113857.5,171526930.02321884,AJK
2024-02-01,300_7_2023,240640787.52321884,69113857.5,171526930.02321884,66739406.316729546,49322544.90562586,3302390.490562586,14114470.920541104,0,24667357.007509105,8368717.007509107,16298640.0,0.0,0,-42072049.30922044,0.0,0.0,0,0.0,-66739406.316729546,0,16298640.0,807588.0154401717,0.0,-49633178.30128937,174708969.22192946,52815217.5,121893751.72192946,AJK
2024-03-01,300_7_2023,174708969.22192943,52815217.5,121893751.72192945,51071413.53013608,38778221.59884652,2570347.159884652,9722844.771404905,0,19788125.023555934,6713375.023555934,13074750.0,0.0,0,-31283288.506580144,0.0,0.0,0,0.0,-51071413.53013608,0,13074750.0,572323.2897102109,0.0,-37424340.24042587,124209878.98150358,39740467.5,84469411.48150358,AJK
2023-12-01,301_1_2020,250131.98824330218,120803.37499666667,129328.61324663552,22244.354575235135,21163.90735930494,1080.4472159301947,-0.0,0,11478.410748497554,2682.4876307753607,9130.916666666666,-334.99354894447225,0,-10765.94382673758,0.0,0.0,0,0.0,-22579.348124179607,0,9130.916666666666,646.8759808773966,0.0,-12801.555476635545,228199.51609999995,111672.45833,116527.05776999997,AJK
2024-01-01,301_1_2020,228199.51609999995,111672.45833,116527.05776999997,20227.63542032066,19218.842806352117,1008.7926139685451,-0.0,0,10197.572768451215,2682.4876307753607,9130.916666666666,-1615.831528990811,0,-10030.062651869446,0.0,0.0,0,0.0,-21843.46694931147,0,9130.916666666666,591.5447238238149,0.0,-12121.005558820989,206947.5938745123,102541.54166333332,104406.05221117898,AJK
2024-02-01,301_1_2020,206947.5938745123,102541.54166333334,104406.05221117898,19567.903458228127,18619.086477177087,948.8169810510421,-0.0,0,10290.207095752861,2682.4876307753607,9130.916666666666,-1523.1972016891652,0,-9277.696362475266,0.0,0.0,0,0.0,-21091.100659917294,0,9130.916666666666,549.4476133071557,0.0,-11410.736379943472,186405.94082790217,93410.62499666667,92995.31583123551,AJK
2024-03-01,301_1_2020,186405.94082790217,93410.62499666667,92995.31583123551,18894.34818078329,18006.76349768178,887.5846831015112,-0.0,0,10385.868028255509,2682.4876307753607,9130.916666666666,-1427.536269186517,0,-8508.480152527782,0.0,0.0,0,0.0,-20321.884449969806,0,9130.916666666666,512.5318405085246,0.0,-10678.435942794615,166596.58821844088,84279.70833,82316.87988844089,AJK
2023-12-01,301_2_2021,670878.7098013228,354783.2222577777,316095.4875435451,365.8835690955443,-1005.9312389332044,1371.8148080287488,-0.0,0,-31156.730230895286,9665.426061534547,35353.77777777778,-76175.93407020762,0,-31522.61379999083,0.0,0.0,0,0.0,-76541.81763930316,0,35353.77777777778,1639.3465054803505,0.0,-39548.69335604503,595976.2386675,319429.4444799999,276546.7941875,AJK
2024-01-01,301_2_2021,595976.2386675,319429.4444799999,276546.7941875,67716.48736483329,64640.54406904036,3075.9432957929253,-0.0,0,39462.77874394813,9265.116037466054,33881.11111111111,-3683.4484046290327,0,-28253.708620885154,0.0,0.0,0,0.0,-71399.93576946232,0,33881.11111111111,1354.938625663933,0.0,-36163.886032687275,525931.2415237015,285548.33336888877,240382.90815481276,AJK
2024-02-01,301_2_2021,525931.2415237015,285548.33336888877,240382.90815481276,34781.86793454922,34699.9809506003,81.88698394891912,-0.0,0,9645.536620098144,9265.116037466054,33881.11111111111,-33500.69052847902,0,-25136.331314451076,0.0,0.0,0,0.0,-68282.55846302824,0,33881.11111111111,1211.5729681052796,0.0,-33189.87438381185,458860.25602877856,251667.22225777767,207193.0337710009,AJK
